id,id_old,biography,author_id,author_name,bibliography,transcript,token_sequence,token,story_act,sequence,character,role,Storyline_no,parenthetic,storyline_title,,date_start,date_full,date_end,storyline,notes,storyweaving_scene_no,storyweaving_scene,storyweaving_sequence,storyweaving_theme,character_scene,character_event,date_start,date_end
1,,1,,,,,,,,1,,,1,,Katharina Kaufman is born at 15:00 hours. ,,1790-05-23,23/05/1790,,Katharina Kaufman is born at 15:00 hours. ,,,,,,,,,
2,,1,,,,,,,,2,,,2,,Napoleon fights a riot in Paris for the directorium.,,1795,1795,,Napoleon fights a riot in Paris for the directorium.,,,,,,,,,
3,,1,,,,,,,,3,,,3,,Napoleon wins against Oberitalian and Autria,,1796,1796,,Napoleon wins against Oberitalian and Autria,,,,,,,,,
4,,1,,,,,,,,4,,,4,,Peace of Campo Formio,,1798,1798,, France has the hegemony in Europe,,,,,,,,,
5,,1,,,,,,,,5,,,5,,"The Second Coalition is built (England, Russia and Autria)",,1798,1798,,"The Second Coalition is built (England, Russia and Autria)",,,,,,,,,
6,,1,,,,,,,,6,,,6,,France becomes a constitutional Monarchy. Napoleon Bonaparte is elected as Kaiser.,,1804,1804,,France becomes a constitutional Monarchy. Napoleon Bonaparte is elected as Kaiser.,,,,,,,,,
7,,1,,,,,,,,7,,,7,,"The Third Coalition is built (England, Austria, Russia and Sweden)",,1805,1805,,"The Third Coalition is built (England, Austria, Russia and Sweden)",,,,,,,,,
8,,1,,,,,,,,8,,,8,,Prussia declares war against France.,,1806,1806,,Prussia declares war against France.,,,,,,,,,
9,,1,,,,,,,,9,,,9,,Napoleon imposes the Continental Block (Kontinentalsperre),,1806,1806,,Napoleon imposes the Continental Block (Kontinentalsperre),,,,,,,,,
10,,1,,,,,,,,10,,,10,,Napoleon makes peace with Russia and Prussia in Tilsit.,,1807,1807,,Napoleon makes peace with Russia and Prussia in Tilsit.,,,,,,,,,
11,,1,,,,,,,,11,,,11,,French Revolution.,,1789,1789,,French Revolution.,,,,,,,,,
12,1,1,1071,1071,222,10,5951,5951,1,12,1,1,12,,"Morel's Father Kaufmann runs an Inn, ""Kreuz"" in Luzern",,1798,1798,,"Morel's Father Kaufmann runs an Inn, ""Kreuz"" in Luzern",<br>,,,,,,,,
13,2,1,1071,1071,222,10,5941,5941,1,13,1,1,13,,Early responsibilities,,1798,1798,,Early responsibilities,<br>,,,,,,,,
14,3,1,1071,1071,222,10,5965,5965,1,14,1,1,14,,Mother's death,,1800,1800,,Mother's death,<br>,,,,,,,,
15,,1,,,,,,,,15,,,15,,"Morel starts to work in the Hotel ""Wilden Mann"", where she does accounting, and the stocks.",,1802,1802,,"Morel starts to work in the Hotel ""Wilden Mann"", where she does accounting, and the stocks.",,,,,,,,,
16,,1,,,,,,,,16,,,16,,"She leaves the Hotel ""Wilden Mann""",,,,,"She leaves the Hotel ""Wilden Mann""",,,,,,,,,
17,4,1,1071,1071,222,10,6002,6002,1,17,5,5,17,,She starts working in a delicatessen shop (Spezereiwaren) in Schwyz.,,,,,She starts working in a delicatessen shop (Spezereiwaren) in Schwyz.,<br>,,,,,,,,
18,5,1,1071,1071,222,10,5992,5992,1,18,1,1,18,,"She starts in the Gasthof ""zur Ilge"".",,,,,"She starts in the Gasthof ""zur Ilge"".",<br>,,,,,,,,
19,6,1,1071,1071,222,10,6000,6000,1,19,5,5,19,,The brothers Peyer,,,,,The brothers Peyer,<br>,,,,,,,,
20,7,1,1071,1071,222,10,6015,6015,1,20,1,1,20,,Opposition from her futur in-laws,,,,,Opposition from her futur in-laws,<br>,,,,,,,,
21,,1,,,,,,,,21,,,21,,Marriage with Heinrich Peyer.,,1806-07-04,04/07/1806,,Marriage with Heinrich Peyer.,,,,,,,,,
22,8,1,1071,1071,222,10,,,1,22,8,8,22,,Crisis of the Helvetic Republic,,,,,Crisis of the Helvetic Republic,<br>,,,,,,,,
23,,1,,,,,,,,23,,,23,,Congress of Vienna,,1904-12-19,19/12/1904,,Congress of Vienna,,,,,,,,,
24,,1,,,,,,,,24,,,24,,Katharina Peyer-Kaufmann moves with her husband to Willisau.,,1806-10-01,01/10/1806,,Katharina Peyer-Kaufmann moves with her husband to Willisau.,,,,,,,,,
25,9,1,1071,1071,222,10,6018,6018,1,25,5,5,25,,Genossenbürger in Willisau,,,,,Genossenbürger in Willisau,<br>,,,,,,,,
26,10,1,1071,1071,222,10,6066,6066,2,26,5,5,26,,Heinrich Peyer leaves as a mercenary in service for Napoleon (the unit of Oberst Castella),,1809-11-20,20/11/1809,,Heinrich Peyer leaves as a mercenary in service for Napoleon (the unit of Oberst Castella),<br>,,,,,,,,
27,,1,,,,,,,,27,,,27,,Napoleon prepares for War against Russia.,,1899-12-30,30/12/1899,,Napoleon prepares for War against Russia.,,,,,,,,,
28,11,1,1071,1071,222,10,,,2,28,8,8,28,," The ""Grande Armee""",,,,," The ""Grande Armee""",<br>,,,,,,,,
29,,1,,,,,,,,29,,,29,,"Katharina leaves for Marsailla where her husband is positioned. She works as a ""Marketender""",,1904-12-16,16/12/1904,,"Katharina leaves for Marsailla where her husband is positioned. She works as a ""Marketender""",,,,,,,,,
30,12,1,1071,1071,222,10,6027,6027,2,30,1,1,30,, Katharina's adventure,,,,, Katharina's adventure,<br>,,,,,,,,
31,13,1,1071,1071,222,10,6024,6024,2,31,5,5,31,, Voyage to Marseille,,1810-07-29,29/07/1810,,"Katharina payer travels in a post carrier over Bern to Geneva, further to Lyon, Avignon and finally to Marseilla.",<br>,,,,,,,,
32,,1,,,,,,,,32,,,32,,,,1811-06-01,/6/1811,,Order to march to Toulon.,,,,,,,,,
33,,1,,,,,,,,33,,,33,,,,1811-10-07,07/10/1811,,Final order to march.,,,,,,,,,
34,14,1,1071,1071,222,10,,,2,34,8,8,34,, Movement of the forces to Paris,,,,, Movement of the forces to Paris,<br>,,,,,,,,
35,15,1,1071,1071,222,10,,,2,35,8,8,35,, Paris,,1811-12-26,26/12/1811,,Parade in Paris before the Majesty.,<br>,,,,,,,,
36,,1,,,,,,,,36,,,36,,,,1811-12-07,07/12/1811,,Katharina sees the Majetisties very close.,,,,,,,,,
37,,1,,,,,,,,37,,,37,,,,1812-01-01,01/01/1812,,Audience before the Majesty.,,,,,,,,,
38,16,1,1071,1071,222,10,,,2,38,5,5,38,, March to the East (Lüttich) and Heinrich ill,,1812-01-13,13/01/1812,,Order to march to Lüttich.,<br>,,,,,,,,
39,,1,,,,,,,,39,,,39,,,,1812-01-24,24/01/1812,,Arrival at Bruxelles.,,,,,,,,,
40,,1,,,,,,,,40,,,40,,,,1812-01-27,27/01/1812,,Arrival at Lüttich. Peyer becomes ill.,,,,,,,,,
41,,1,,,,,,,,41,,,41,,,,1812-03-02,02/03/1812,,The unit leaves to Aachen.,,,,,,,,,
42,,1,,,,,,,,42,,,42,,,,1812-03-26,26/03/1812,,Arrival at Magdeburg.,,,,,,,,,
43,17,1,1071,1071,222,10,,,2,43,8,8,43,, Joining of the four Regiments in Stettin,,1812-04-28,28/04/1812,,Arrival at Stettin. All four Swiss Units (Regimenter) gather there. Napoleon still in Paris.,<br>,,,,,,,,
44,18,1,1071,1071,222,10,6045,6045,2,44,1,1,44,, Minette the Swiss Lady's horse (in Marienwerder),,1812-06-01,01/06/1812,, Minette the Swiss Lady's horse (in Marienwerder),<br>,,,,,,,,
45,,1,,,,,,,,45,,,45,,,,1812-06-18,18/06/1812,,Napeolon units with his Army.,,,,,,,,,
46,,1,,,,,,,,46,,,46,,,,1812-06-22,22/06/1812,,Arrival at Niemen.,,,,,,,,,
47,19,1,1071,1071,222,10,,,2,47,1,1,47,, March to Polozk,,,,, March to Polozk,<br>,,,,,,,,
48,,1,,,,,,,,48,,,48,,,,1812-08-15,15/08/1812,1812-10-17,Stay at Polozk.,10,17,,17/10/1812,,,,,
49,20,1,1071,1071,222,10,,,2,49,1,1,49,," The ""Second Polish War"" (Envasion of Russia)",,,,," The ""Second Polish War"" (Envasion of Russia)",<br>,,,,,,,,
50,21,1,1071,1071,222,10,5947,5947,2,50,3,3,50,, The War,,1812-10-17,17/10/1812,,Attack by the Russians.,<br>,,,,,,,,
51,,1,,,,,,,,51,,,51,,,,1812-10-18,18/10/1812,,Battle by Polozk.,,,,,,,,,
52,,1,,,,,,,,52,,,52,,,,1812-10-19,19/10/1812,,Second battle by Polozk. The Russians take a bridge. The Swiss have to flee during 22 hours.,,,,,,,,,
53,22,1,1071,1071,222,10,,,2,53,3,3,53,, Misery and deprivations,,1812-04-01,01/04/1812,1812-10-15,The mercenaries are living without any salary for already 6 months. They run out of food.,<br>,,,,,,,,
54,,1,,,,,,,,54,,,54,,,,1899-12-30,30/12/1899,,Katharina writes her sister Anne-Marie.,,,,,,,,,
55,,1,,,,,,,,55,,,55,,,,1812-11-25,25/11/1812,,The Napoleonic troups return from Moskow.,,,,,,,,,
56,23,1,1071,1071,222,10,6083,6083,2,56,8,8,56,," Disintegration of the Regiments, keeping one's own business",,,,," Disintegration of the Regiments, keeping one's own business",<br>,,,,,,,,
57,24,1,1071,1071,222,10,,,2,57,3,3,57,, The Beresina (Flight to Switzerland),,1812-11-28,28/11/1812,,"The Swiss mercenaries prepare for battle on the street between Barisow and Zumbin. Blattman starts to sing the famous ""Beresinalied"" and is shot soon after.",<br>,,,,,,,,
58,,1,,,,,,,,58,,,58,,,,1812-12-15,15/12/1812,,Peyers unit leaves Königsberg.,,,,,,,,,
59,,1,,,,,,,,59,,,59,,,,1812-12-21,21/12/1812,,Arrival at Elbing.,,,,,,,,,
60,,1,,,,,,,,60,,,60,,,,1812-12-31,31/12/1812,1812-01-01,"The couple Peyer-Kaufmann is ill, in  hospital. The Cosaks are arriving. Katharina organizes a slide and leaves with her husband.",,,,,,,,,
61,,1,,,,,,,,61,,,61,,,,1813-01-11,11/01/1813,,They manage to get on a carrier.,,,,,,,,,
62,,1,,,,,,,,62,,,62,,,,1813-01-12,12/01/1813,,Arrival at Neuenburg. 26 hours travel to Konitz.,,,,,,,,,
63,,1,,,,,,,,63,,,63,,,,1813-01-16,16/01/1813,,Arrival at Friedland. They sell a ring and the clarinett for accomodation and food.,,,,,,,,,
64,,1,,,,,,,,64,,,64,,,,1813-01-17,17/01/1813,,Arrival at Jastrow.,,,,,,,,,
65,,1,,,,,,,,65,,,65,,,,1813-01-22,22/01/1813,,"""Neue Truppenaushebung"" in France according NZZ.",,,,,,,,,
66,,1,,,,,,,,66,,,66,,,,1813-01-31,31/01/1813,,The fugitives arrive at Berlin.,,,,,,,,,
67,,1,,,,,,,,67,,,67,,,,1813-02-06,06/02/1813,,The couple loose their last goods in Magdeburg.,,,,,,,,,
68,,1,,,,,,,,68,,,68,,,,1813-02-08,08/02/1813,,"March over Halle to Eisenach, Fulda, Frankfurt am Main, Mainz, Worms and Speyer.",,,,,,,,,
69,,1,,,,,,,,69,,,69,,,,1813-03-01,01/03/1813,,Arrival at Lautenburg.,,,,,,,,,
70,,1,,,,,,,,70,,,70,,,,1813-03-01,01/03/1813,,The NZZ reporst about the Russians occupying Warsaw.,,,,,,,,,
71,,1,,,,,,,,71,,,71,,,,1813-03-16,16/03/1813,,The Russians arrive at Berling.,,,,,,,,,
72,,1,,,,,,,,72,,,72,,,,1813-03-16,16/03/1813,,The Russians arrive at Berling.,,,,,,,,,
73,,1,,,,,,,,73,,,73,,,,1813-03-23,23/03/1813,,"French ""Generalquartier zu Leipzig""",,,,,,,,,
74,,1,,,,,,,,74,,,74,,,,1813-03-30,30/03/1813,,The French march over the Rhin to Germany.,,,,,,,,,
75,,1,,,,,,,,75,,,75,,,,1813-04-06,06/04/1813,,The French and the Prussians are meeting at the Elbe.,,,,,,,,,
76,,1,,,,,,,,76,,,76,,,,1813-04-16,16/04/1813,,Russian troups arrive at Leipzig.,,,,,,,,,
77,,1,,,,,,,,77,,,77,,,,1813-05-07,07/05/1813,,Main quarter of Napleon at Querstädt on the road to Leipzig.,,,,,,,,,
78,,1,,,,,,,,78,,,78,,,,1813-05-10,10/05/1813,,Heinrich and Katharina leave Lautenburg.,,,,,,,,,
79,,1,,,,,,,,79,,,79,,,,1813-05-15,15/05/1813,,Arrival at Basel.,,,,,,,,,
80,25,1,1071,1071,222,10,,,2,80,3,3,80,, Survivors,,,,, Survivors,<br>,,,,,,,,
81,26,1,1071,1071,222,10,,,2,81,3,3,81,, Typhus & Dispair,,,,, Typhus & Dispair,<br>,,,,,,,,
82,27,1,1071,1071,222,10,,,3,82,1,1,82,, End of War,,,,, End of War,<br>,,,,,,,,
83,28,1,1071,1071,222,10,,,3,83,1,1,83,, Berlin,,,,, Berlin,<br>,,,,,,,,
84,29,1,1071,1071,222,10,,,3,84,9,9,84,, Frau von Abyberg,,,,, Frau von Abyberg,<br>,,,,,,,,
85,30,1,1071,1071,222,10,,,3,85,5,5,85,, A passport for Heinrich,,,,, A passport for Heinrich,<br>,,,,,,,,
86,31,1,1071,1071,222,10,,,3,86,7,7,86,, Home,,,,, Home,<br>,,,,,,,,
87,32,1,1071,1071,222,10,5960,5960,3,87,1,1,87,, Sister Anne-Marie,,,,, Sister Anne-Marie,<br>,,,,,,,,
88,33,1,1071,1071,222,10,6213,6213,3,88,1,1,88,, War-News or War Stories,,,,, War-News or War Stories,<br>,,,,,,,,
,,1,,,,,,,,89,,,,,,,1813-06-15,15/06/1813,,Ceasefire agreed on on June 4 is closed. The French troups march to Hamburg on May 30th.,,,,,,,,,
,,1,,,,,,,,90,,,,,,,1813-07-13,13/07/1813,,Alliance between England and Sweden.,,,,,,,,,
,,1,,,,,,,,91,,,,,,,1813-07-16,16/07/1813,,The opening of a Peace Congress in Prag is close.,,,,,,,,,
,,1,,,,,,,,92,,,,,,,1813-08-10,10/08/1813,,Terrible war armament at all sides.,,,,,,,,,
,,1,,,,,,,,93,,,,,,,1813-08-20,20/08/1813,,Entrenchment works at Vienna.,,,,,,,,,
,,1,,,,,,,,94,,,,,,,1813-08-27,27/08/1813,,First official news about the end of ceasefire and Austria's war declaration to France.,,,,,,,,,
,,1,,,,,,,,95,,,,,,,1813-09-10,10/09/1813,,War from the Adratic Sea to the Baltic Sea.,,,,,,,,,
,,1,,,,,,,,96,,,,,,,1813-10-22,22/10/1813,,Start of the French main quarter. Blücher crosses the Elbe. The allies advance in Saxon.,,,,,,,,,
,,1,,,,,,,,97,,,,,,,1813-10-26,26/10/1813,,Rumours about the occupation of Leipzig by Allies.,,,,,,,,,
,,1,,,,,,,,98,,,,,,,1813-10-29,29/10/1813,,The four main armies of the four monarchies come closer.,,,,,,,,,
,,1,,,,,,,,99,,,,,,,1813-11-02,02/11/1813,,The allies advance at all points.,,,,,,,,,
,,1,,,,,,,,100,,,,,,,1813-11-12,12/11/1813,,"Napoleon arrives at Main, the Russians and the Prussians at Frankfurt. In Switzerland: The Ticino is cleaned up by French troups.",,,,,,,,,
,,1,,,,,,,,101,,,,,,,1813-11-26,26/11/1813,,"French military summons of 300.000 men. Marburg, Düsseldorf and Hanover occupied by the Allies.",,,,,,,,,
,34,1,1071,1071,222,10,,,3,102,8,8,,, Upheaval in Europe and home for Katharina,,1813-12-10,10/12/1813,,Rumours about proclamations to the inhabitants of the left Rhine river.,<br>,,,,,,,,
,,1,,,,,,,,103,,,,,,,1813-12-17,17/12/1813,,The Allies advance in Holland. Some private letters inform about the occupation of Colon.,,,,,,,,,
,,1,,,,,,,,104,,,,,,,1813-12-24,24/12/1813,,The Allies cross the Rhine on French territory.,,,,,,,,,
,,1,,,,,,,,105,,,,,,,1814-01-25,25/01/1814,,Advancements of the Allies in France.,,,,,,,,,
,,1,,,,,,,,106,,,,,,,1813-09-15,15/09/1813,,Brand of Moskow.,,,,,,,,,
,,1,,,,,,,,107,,,,,,,1812-10-23,23/10/1812,,"Nachrichtenbulletin: ""Die Einwohner sind über die seit 20 Tagen herrschende Witterung sehr verwunder. Die Armee befindet sich in einem sehr reichen Land, das mit den besten Gegenden Deutschlands und Frankreichs zu vergleichen ist.""",,,,,,,,,
,,1,,,,,,,,108,,,,,,,1812-12-25,25/12/1812,,"Nachrichtenbulletin: ""Napoleon erlitt mehr Niederlagen als Siege"".",,,,,,,,,
,35,1,1071,1071,222,10,,,3,109,5,5,,, Military carrier in the Netherlands,,,,, Military carrier in the Netherlands,<br>,,,,,,,,
,,1,,,,,,,,110,,,,,,,1813-12-24,24/12/1813,,Katharina leaves to join Heinrich.,,,,,,,,,
,,1,,,,,,,,111,,,,,,,1813-05-01,01/05/1813,,Arrival at Maastrich.,,,,,,,,,
,,1,,,,,,,,112,,,,,,,1813-11-01,01/11/1813,,"Katharina and Heinrich move to the fortification Bergen op Zoom. Katharina runs the ""Haus Peyer"".",,,,,,,,,
,,1,,,,,,,,113,,,,,,,1815-11-01,01/11/1815,,Transfer to Antwerpen. Katharina rents a small apartement.,,,,,,,,,
,37,1,1071,1071,222,10,,,3,114,1,1,,, Katharina's ship,,1817-06-01,01/06/1817,,Order to transfert to Gorum. Katharina hires a ship and manages the logistics.,<br>,,,,,,,,
,38,1,1071,1071,222,10,,,3,115,1,1,,, Gorum,,1821-01-01,01/01/1821,,Arrival at Gorum.,<br>,,,,,,,,
,39,1,1071,1071,222,10,6043,6043,3,116,5,5,,, Release from office,,1899-12-30,30/12/1899,,Dismissing from service. They can now return to Switzerland.,<br>,,,,,,,,
,36,1,1071,1071,222,10,6226,6226,3,117,1,1,,, Pension Morel,,,,,"21-days-travel to Switzerland in horse carrier through Aachen, Lüttich, Köln, Koblenz, Speyer, Salzbach, Freiburg, Basel, Zofingen, to Willisau.",<br>,,,,,,,,
,41,1,1071,1071,222,10,6091,6091,3,118,5,5,,, Heinrich ill,,,,, Heinrich ill,<br>,,,,,,,,
,42,1,1071,1071,222,10,,,3,119,7,7,,, Mothering duties (Katharina Peyer),,1899-12-30,30/12/1899,,Heinrich's sister dies and leaves her daughter with Katharina and Heinrich.,<br>,,,,,,,,
,40,1,1071,1071,222,10,6059,6059,3,120,1,1,,," Inn ""Zum Rössli""",,1904-12-29,29/12/1904,,"Katharina and Heinrich leave the ""Rössli"" and start the ""Bad Rothen"" in Littau during two years.",<br>,,,,,,,,
,,1,,,,,,,,121,,,,,,,,,,,,,,,,,,,
,,1,,,,,,,,122,,,,,,,1904-12-31,31/12/1904,,"Katharina lease the Inn ""Engel"" in Luzern.",,,,,,,,,
,,1,,,,,,,,123,,,,,,,1837-10-10,10/10/1837,,"Katharina leaves the ""Engel"" and receives a ""Silver Spoon"" from the ""Trockenbund"".",,,,,,,,,
,43,1,1071,1071,222,10,6088,6088,3,124,1,1,,,"Bad Rothen"" (Tourism)   
383 3 3         44  Return to Luzern, the Inn ""Engel"", the ""Trockenbund",,1837-10-10,10/10/1837,,"Katharina leaves the ""Engel"" and receives a ""Silver Spoon"" from the ""Trockenbund"".",<br>,,,,,,,,
,,1,,,,,,,,125,,,,,,,1904-12-09,09/12/1904,,"Foundation of the ""Trockenbund""",,,,,,,,,
,44,1,1071,1071,222,10,6110,6110,3,126,3,3,,, Brand of Luzern,,1833-06-12,12/06/1833,1833-06-13,"Fire in Luzern (""Luzerner Stadtbrand"")",<br>,,,,,,,,
,,1,,,,,,,,127,,,,,,,1833-06-23,23/06/1833,,Church mass: thanksgiving for the protection during the fire in.,,,,,,,,,
,45,1,1071,1071,222,10,,,3,128,5,5,,, Heinrich's death,,1837-02-13,13/02/1837,,"Carnival. Heinrich Peyer lies already a while ill in bed and dies that day from lung hemorrhage, in presence of Katharina.",<br>,,,,,,,,
,46,1,1071,1071,222,10,,,3,129,3,3,,, The Widow,,,,, The Widow,<br>,,,,,,,,
,47,1,1071,1071,222,10,6111,6111,3,130,2,2,,, Josef Morel,,1838-01-01,01/01/1838,,Katharina marries the ten years younger Josef Morel.,<br>,,,,,,,,
,,1,,,,,,,,131,,,,,,,1899-12-30,30/12/1899,,"Katharina is shareholder of the Stadttheater Luzern, which is under construction.",,,,,,,,,
,48,1,1071,1071,222,10,6126,6126,3,132,3,3,,, Inheritance disputes,,1844-06-19,19/06/1844,,"Josef Morel, after much worries due to family issues, and herritage disputes, dies inexpectatly. Katharina has to restructurate her financial budget.",<br>,,,,,,,,
,49,1,1071,1071,222,10,6145,6145,3,133,2,2,,, Bankrupcy and death of Josef Morel,,,,, Bankrupcy and death of Josef Morel,<br>,,,,,,,,
,,1,,,,,,,,134,,,,,,,1905-01-06,06/01/1905,,"Luzern: A modern, liberal constitutional proposal is rejected.",,,,,,,,,
,,1,,,,,,,,135,,,,,,,1844-12-08,08/12/1844,,Freischaarenzug (Volunteerism movement) defeated by  the government of Luzern.,,,,,,,,,
,,1,,,,,,,,136,,,,,,,1847-11-04,04/11/1847,1847-11-29,Sonderbund War.,,,,,,,,,
,50,1,1071,1071,222,10,,,3,137,1,1,,, Women's business,,,,, Women's business,<br>,,,,,,,,
,51,1,1071,1071,222,10,6143,6143,3,138,1,1,,," Sonderbundskrieg, political engagement",,1905-01-25,25/01/1905,,Leave off of the debt to the Sonderbund.,<br>,,,,,,,,
,52,1,1071,1071,222,10,6239,6239,3,139,1,1,,, Friendship with Robert Steiger,,1905-01-18,18/01/1905,,"Jakob Rober Steiger, leader of the Volunteers is sentenced to death and locked in the ""Kesselturm"", Luzern.",<br>,,,,,,,,
,53,1,1071,1071,222,10,,,3,140,2,2,,, Josef's murder,,,,, Josef's murder,<br>,,,,,,,,
,,1,,,,,,,,141,,,,,,,1905-01-18,18/01/1905,,"Katharina participates as one of the ""Pfefferfrauen"" in Steiger's liberation.",,,,,,,,,
,,1,,,,,,,,142,,,,,,,1845-07-10,10/07/1845,,Katharina receives a thank you letter from Steiger. Katharina considers him in her testament.,,,,,,,,,
,54,1,1071,1071,222,10,6160,6160,4,143,3,3,,,"Kaltbad"" mountain inn   
395 3 4         56  Brand of ""Kaltbad",,1846-05-15,15/05/1846,,"Katharina starts the manafement of the Berggasthof ""Kaltbad"" together with her foster daughter Katharina Peyer.",<br>,,,,,,,,
,,1,,,,,,,,144,,,,,,,1849-09-20,20/09/1849,,"Fire in the ""Kaltbad"" destroys it cmpletly.",,,,,,,,,
,,1,,,,,,,,145,,,,,,,1849-09-20,20/09/1849,1849-10-20,Katharina has to remain in bed during one month after saving people and goods in the fire.,,,,,,,,,
,55,1,1071,1071,222,10,6199,6199,4,146,1,1,,," Hotel ""Schweizerhof""",,1849-11-01,01/11/1849,1905-02-02,"Katharina start the management of the hotel ""Schweizerhof"" together with her nice Joséfin and Katharina Peyer.",<br>,,,,,,,,
,56,1,1071,1071,222,10,,,4,147,1,1,,," Guests in ""Schweizerhof""",,1905-01-18,18/01/1905,,"The hotel ""Schweizerhof"" opens as first Grand Hotel in Luzern.",<br>,,,,,,,,
,,1,,,,,,,,148,,,,,,,1905-01-27,27/01/1905,1905-01-28,"Restructuration and amplification of the ""Schweizerhof"" according plans of Josef Placidus Segesser.",,,,,,,,,
,,1,,,,,,,,149,,,,,,,1905-01-26,26/01/1905,,"The Luzerner Tagblatt publishes a guest list of the ""Schweizerhof"".",,,,,,,,,
,,1,,,,,,,,150,,,,,,,1853-07-01,/7/1853,,Queen Sophie of the Netherlads is guest at the Schweizerhof.,,,,,,,,,
,,1,,,,,,,,151,,,,,,,1905-01-27,27/01/1905,,"King Leopold I. of Belgiu, is guest at the Schweizerhof.",,,,,,,,,
,,1,,,,,,,,152,,,,,,,1905-01-30,30/01/1905,,King Johann I. with family is guest at the Schweizerhof.,,,,,,,,,
,,1,,,,,,,,153,,,,,,,1905-01-30,30/01/1905,,Count Leo Tolstoi is guest at the Schweizerhof and writes about Luzern during his stage.,,,,,,,,,
,57,1,1071,1071,222,10,,,4,154,1,1,,, Sovereignty,,1856-03-17,17/03/1856,,Katharina writes in a letter how happy she is about her independence.,<br>,,,,,,,,
,58,1,1071,1071,222,10,6213,6213,4,155,1,1,,, Public recognition: Sankt-Helena-Medaille,,1905-01-31,31/01/1905,,"Katharina recieves the ""Médaille de St. Hélène"" by Napoleon III.",<br>,,,,,,,,
,,1,,,,,,,,156,,,,,,,1905-01-31,31/01/1905,,The Luzerner Tagblatt recognizes Katharinas efforts during the Russian Campaign.,,,,,,,,,
,,1,,,,,,,,157,,,,,,,1905-02-03,03/02/1905,,"The family Segesser sells the ""Schweizerhof"". ",,,,,,,,,
,,1,,,,,,,,158,,,,,,,1905-02-03,03/02/1905,,"Katharina buys the Ziegelhütten-Liegenschaft from the Segessers. She starts a small guesthouse there, which she calls the ""Tuilerienhaus"" and is later known as ""Pension Morel"".",,,,,,,,,
,,1,,,,,,,,159,,,,,,,1861-05-01,01/05/1861,,Katharina announces her guesthouse in the Luzerner Presse.,,,,,,,,,
,,1,,,,,,,,160,,,,,,,1862-06-18,18/06/1862,,Processes against the opening of new guesthouses by the Stadtrath (City Council).,,,,,,,,,
,,1,,,,,,,,161,,,,,,,1862-06-26,26/06/1862,,An official protocol mentiones Katharina as legal owner of the guesthouse.,,,,,,,,,
,,1,,,,,,,,162,,,,,,,1864-07-21,21/07/1864,,Katharina's guesthouse is officially registered.,,,,,,,,,
,59,1,1071,1071,222,10,,,4,163,1,1,,, Teaching others in the Pension Morel,,,,, Teaching others in the Pension Morel,<br>,,,,,,,,
,60,1,1071,1071,222,10,,,4,164,9,9,,, Progress in Luzern,,,,, Progress in Luzern,<br>,,,,,,,,
,,1,,,,,,,,165,,,,,,,1905-02-12,12/02/1905,,The Grand-Hotel National is opened.,,,,,,,,,
,,1,,,,,,,,166,,,,,,,,,,"Katharina is asked to run the ""National"", but she rejects. She is ill of a lung infection.",,,,,,,,,
,61,1,1071,1071,222,10,,,4,167,3,3,,, Katharina's death,,1876-03-07,07/03/1876,,Katharina Morel dies at the age of 86 years.,<br>,,,,,,,,
,62,1,1071,1071,222,10,,,4,168,1,1,,, Katharina's bequest,,,,, Katharina's bequest,<br>,,,,,,,,
